appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime
427890,1,0,0,19,6,0,0
427910,1,0,14,254,76,0,0
427930,1,0,69,38,27,171,172
427950,1,0,0,188,99,0,0
427970,1,0,30,6,7,0,0
427980,1,18,1,386,96,152,152
428020,1,0,13,5,2,0,0
428040,1,0,19,22,2,0,0
428060,1,0,0,22,3,0,0
428080,1,0,0,356,12,17,17
428100,1,0,24,84,6,0,0
428110,1,0,63,16,11,0,0
428130,1,0,6,3,0,0,0
428180,1,0,10,296,85,0,0
428190,1,0,0,102,153,0,0
428200,1,0,60,155,68,0,0
428210,1,0,0,17,30,0,0
428220,1,0,82,272,55,0,0
428230,1,0,14,5,1,0,0
428240,1,0,0,2,0,0,0
428250,1,0,0,27,10,0,0
428260,1,0,0,21,24,0,0
428270,1,0,0,36,15,0,0
428280,1,0,0,33,7,0,0
428350,1,0,38,57,11,0,0
428370,1,0,29,546,168,0,0
428410,1,0,9,25,3,0,0
428440,1,0,10,143,85,0,0
428460,1,0,20,41,7,0,0
428490,1,0,9,25,1,0,0
428510,1,0,21,44,18,335,335
428530,1,0,12,20,11,0,0
428540,1,0,0,62,16,0,0
428550,1,0,9,5904,363,134,192
428590,1,0,14,10,12,0,0
428610,1,0,0,73,33,0,0
428630,1,0,0,163,126,256,265
428660,1,0,28,298,65,0,0
428690,1,0,54,6483,2590,1394,1765
428740,1,0,8,7,12,0,0
428750,1,0,14,743,61,83,86
428760,1,0,28,23,18,0,0
428800,1,0,0,41,53,0,0
428830,1,0,43,123,14,0,0
428860,1,0,37,117,21,0,0
428870,1,0,0,113,29,0,0
428880,1,0,60,243,39,0,0
428900,1,0,21,730,109,223,244
428920,1,0,26,11,5,0,0
428930,1,0,30,6,0,0,0
428940,1,0,0,3,7,0,0
428950,1,0,0,237,240,218,216
428980,1,0,11,7,14,0,0
429020,1,0,14,26,49,0,0
429040,1,0,0,16,3,0,0
429050,1,0,19,1341,550,197,256
429060,1,0,13,47,39,349,425
429180,1,0,0,598,402,15906,48
